edad;clase_trabajo;peso_final;educacion;años_educacion;estado_civil;ocupacion;relacion_familiar;raza;sexo;ganancia_capital;perdida_capital;horas_semana;pais_origen;ingreso
54;gobierno local;288825;secundaria completa;9;casado/a;transporte/logistica;esposo;negro/a;masculino;0;0;40;estados unidos;<=50k
29;privado;104256;secundaria completa;9;divorciado/a;ventas;sin familia conviviente;blanco/a;femenino;0;0;34;estados unidos;<=50k
39;gobierno local;149833;licenciatura;13;divorciado/a;profesional especializado;no casado/a;blanco/a;femenino;0;0;40;estados unidos;<=50k
37;privado;117381;maestria;14;casado/a;profesional especializado;esposo;blanco/a;masculino;0;0;45;estados unidos;<=50k
25;privado;193701;licenciatura;13;soltero/a;otros servicios;sin familia conviviente;blanco/a;FEMENINO;0;0;38;estados unidos;<=50k
37;privado;224541;universitario incompleto;10;casado/a;transporte/logistica;esposo;blanco/a;masculino;0;0;40;estados unidos;<=50k
54;privado;118108;  secundaria completa  ;9;casado/a;oficios/reparacion;esposo;negro/a;masculino;0;0;40;estados unidos;<=50k
25;privado;259300;licenciatura;13;soltero/a;ventas;sin familia conviviente;blanco/a;MUJER;0;0;16;estados unidos;<=50k
24;privado;122234;universitario incompleto;10;soltero/a;administrativo;sin familia conviviente;negro/a;femenino;0;0;20;;<=50k
30;PRIVADO;76107;secundaria completa;9;soltero/a;transporte/logistica;sin familia conviviente;blanco/a;masculino;0;0;45;estados unidos;>50k
35;privado;379959;secundaria completa;9;divorciado/a;otros servicios;sin familia conviviente;blanco/a;femenino;0;0;40;estados unidos;<=50k
20;privado;216436;licenciatura;13;soltero/a;ventas;otro familiar;negro/a;femenino;0;0;30;estados unidos;<=50k
45;privado;199590;5-6 grado;3;casado/a;operador de maquinaria;esposo;blanco/a;masculino;0;0;40;;<=50K.
28;gobierno federal;298661;licenciatura;13;soltero/a;soporte tecnico;sin familia conviviente;negro/a;femenino;0;0;40;estados unidos;<=50k
45;gobierno local;102359;  licenciatura  ;13;casado/a;profesional especializado;esposo;blanco/a;masculino;0;0;37;estados unidos;<=50k
52;gobierno federal;424012;universitario incompleto;10;divorciado/a;gerente;sin familia conviviente;blanco/a;femenino;0;0;40;estados unidos;<=50k
35;privado;261382;licenciatura;13;casado/a;VENTAS;esposo;blanco/a;masculino;0;0;50;estados unidos;<=50k
22;;77873;9 grado;5;soltero/a;;sin familia conviviente;blanco/a;masculino;0;0;30;;<=50k
22;;165065;  universitario incompleto  ;10;soltero/a;;hijo/a propio/a;blanco/a;femenino;0;0;40;italia;<=50k
21;gobierno estatal;110946;secundaria completa;9;Soltero;administrativo;hijo/a propio/a;blanco/a;femenino;0;0;43;estados unidos;<=50k
33;;181091;licenciatura;13;casado/a;;esposo;blanco/a;masculino;0;0;60;;>50k
34;privado;69251;universitario incompleto;10;casado/a;otros servicios;esposo;asiatico/isleno pacifico;masculino;0;0;40;filipinas;<=50k
64;privado;170483;secundaria completa;9;viudo/a;otros servicios;sin familia conviviente;blanco/a;femenino;0;0;38;estados unidos;<=50k
20;privado;118462;secundaria completa;9;soltero/a;limpieza/mantenimiento;hijo/a propio/a;blanco/a;masculino;0;0;43;estados unidos;<=50k
47;gobierno federal;402975;universitario incompleto;10;casado/a;ejecutivo/gerente;esposo;negro/a;masculino;0;0;40;estados unidos;<=50k
34;privado;175413;tecnico academico;12;divorciado/a;ventas;no casado/a;negro/a;femenino;0;0;45;estados unidos;<=50k
70;privado;89787;secundaria completa;9;casado/a;profesional especializado;esposo;blanco/a;masculino;0;0;20;estados unidos;<=50k
24;privado;258298;tecnico vocacional;11;soltero/a;soporte tecnico;sin familia conviviente;blanco/a;masculino;0;0;45;estados unidos;<=50k
42;gobierno local;201723;universitario incompleto;10;soltero/a;oficios/reparacion;sin familia conviviente;blanco/a;masculino;0;0;-1;estados unidos;<=50k
20;privado;107658;universitario incompleto;10;soltero/a;soporte tecnico;sin familia conviviente;blanco/a;femenino;0;0;10;estados unidos;<=50k
39;privado;277886;licenciatura;13;casado/a;ventas;esposa;blanco/a;femenino;0;0;30;estados unidos;<=50k
49;privado;186078;maestria;14;casado/a;profesional especializado;esposa;blanco/a;femenino;0;0;50;estados unidos;>50k
41;privado;49797;secundaria completa;9;casado/a;oficios/reparacion;esposo;blanco/a;masculino;0;0;40;estados unidos;<=50k
25;privado;218136;universitario incompleto;10;soltero/a;limpieza/mantenimiento;sin familia conviviente;negro/a;masculino;0;0;40;territorios de ee.uu.;<=50k
41;privado;174540;universitario incompleto;10;casado/a;profesional especializado;esposo;negro/a;M;0;0;4;estados unidos;<=50k
51;gobierno federal;215948;universitario incompleto;10;casado/a;limpieza/mantenimiento;esposo;otro;masculino;0;0;40;;<=50K.
24;privado;188925;  tecnico vocacional  ;11;casado/a;operador de maquinaria;esposo;blanco/a;masculino;0;0;40;estados unidos;<=50k
35;privado;22463;secundaria completa;9;casado/a;oficios/reparacion;esposo;blanco/a;masculino;0;0;40;estados unidos;<=50k
41;gobierno local;33068;maestria;14;divorciado/a;profesional especializado;sin familia conviviente;blanco/a;masculino;0;1974;40;estados unidos;<=50k
59;privado;182460;licenciatura;13;casado/a;ejecutivo/gerente;esposo;blanco/a;masculino;0;0;60;estados unidos;>50k
30;privado;251120;7-8 grado;4;soltero/a;oficios/reparacion;sin familia conviviente;blanco/a;masculino;0;0;38;estados unidos;<=50k
46;privado;267107;5-6 grado;3;casado/a;oficios/reparacion;esposa;blanco/a;femenino;0;0;45;italia;<=50k
34;privado;114639;universitario incompleto;10;soltero/a;limpieza/mantenimiento;otro familiar;blanco/a;masculino;0;0;20;estados unidos;<=50k
31;privado;99844;secundaria completa;9;soltero/a;oficios/reparacion;sin familia conviviente;indigena americano/esquimal;masculino;0;0;45;estados unidos;<=50k
51;gobierno federal;45487;secundaria completa;9 años;casado/a;transporte/logistica;esposo;blanco/a;masculino;0;0;80;estados unidos;<=50k
44;privado;187720;secundaria completa;9;casado/a;oficios/reparacion;esposo;blanco/a;masculino;0;0;41;estados unidos;<=50k
38;privado;337130;1-4 grado;2;casado/a;oficios/reparacion;sin familia conviviente;blanco/a;masculino;0;0;40;mexico;<=50k
48;gobierno federal;110457;universitario incompleto;10;casado/a;oficios/reparacion;esposo;blanco/a;masculino;0;0;40;estados unidos;>50k
51;privado;234057;secundaria completa;9;casado/a;oficios/reparacion;esposo;blanco/a;masculino;0;0;45;estados unidos;>50k
31;privado;167319;licenciatura;13;casado/a;ejecutivo/gerente;esposo;blanco/a;masculino;0;0;40;estados unidos;<=50k
37;;137527;doctorado;16;soltero/a;;sin familia conviviente;blanco/a;femenino;0;2559;60;;>50k
26;privado;208122;universitario incompleto;10;divorciado/a;limpieza/mantenimiento;sin familia conviviente;blanco/a;masculino;0;0;45;estados unidos;<=50k
37;privado;200863;universitario incompleto;10;viudo/a;oficios/reparacion;no casado/a;blanco/a;masculino;0;0;40;estados unidos;<=50k
49;privado;125892;secundaria completa;9;casado/a;ventas;esposo;blanco/a;masculino;0;0;40;estados unidos;<=50k
23;privado;200967;secundaria completa;9;divorciado/a;otros servicios;hijo/a propio/a;blanco/a;femenino;0;0;10;estados unidos;<=50k
52;autonomo no incorporado;41496;universitario incompleto;10;casado/a;ventas;esposo;blanco/a;masculino;0;0;45;estados unidos;<=50k
27;privado;91189;secundaria completa;9;soltero/a;administrativo;hijo/a propio/a;blanco/a;masculino;0;0;40;estados unidos;<=50k
27;privado;289147;licenciatura;13;soltero/a;profesional especializado;hijo/a propio/a;blanco/a;femenino;0;0;40;estados unidos;<=50k
37;autonomo no incorporado;180477;secundaria completa;9;casado/a;oficios/reparacion;esposo;blanco/a;masculino;0;0;47;estados unidos;<=50k
40;gobierno federal;36885;universitario incompleto;10;soltero/a;administrativo;sin familia conviviente;blanco/a;femenino;0;0;50;estados unidos;<=50k
44;autonomo no incorporado;103111;escuela profesional;15;casado/a;profesional especializado;esposo;blanco/a;masculino;0;0;60;estados unidos;>50k
43;privado;132130;tecnico vocacional;11;casado/a;agricultura/pesca;esposo;blanco/a;masculino;0;0;40;estados unidos;>50k
43;privado;413297;secundaria completa;9;casado/a;oficios/reparacion;esposo;blanco/a;masculino;0;0;45;estados unidos;<=50k
32;gobierno local;209900;licenciatura;13;casado/a;profesional especializado;esposo;blanco/a;masculino;0;0;65;estados unidos;>50k
40;;351161;maestria;14;casado/a;;esposo;blanco/a;masculino;0;0;60;estados unidos;>50k
62;privado;113080;  7-8 grado  ;4;divorciado/a;oficios/reparacion;hijo/a propio/a;blanco/a;masculino;0;0;40;estados unidos;<=50k
48;gobierno local;144122;maestria;14;divorciado/a;profesional especializado;sin familia conviviente;blanco/a;femenino;0;0;40;estados unidos;>50k
60;privado;140544;secundaria completa;9;soltero/a;limpieza/mantenimiento;sin familia conviviente;blanco/a;masculino;0;0;40;estados unidos;<=50k
50;gobierno federal;96657;licenciatura;13;Divorciado;profesional especializado;no casado/a;negro/a;femenino;0;0;40;estados unidos;<=50k
38;privado;37028;universitario incompleto;10;divorciado/a;ventas;no casado/a;blanco/a;femenino;0;0;38;estados unidos;<=50k
24;;116968;licenciatura;13;soltero/a;;sin familia conviviente;blanco/a;masculino;0;0;45;estados unidos;<=50k
34;Privado;221324;secundaria completa;9;soltero/a;operador de maquinaria;no casado/a;negro/a;femenino;0;0;40;estados unidos;<=50k
42;privado;172297;maestria;14;casado/a;administrativo;esposo;blanco/a;masculino;0;1902;40;estados unidos;>50k
30;gobierno local;319280;secundaria completa;9;casado/a;servicios de proteccion;esposo;blanco/a;masculino;0;0;40;estados unidos;>50k
32;privado;127610;licenciatura;13;casado/a;Especialista;esposa;blanco/a;femenino;0;1902;32;estados unidos;>50k
23;privado;253190;tecnico academico;12;casado/a;limpieza/mantenimiento;esposo;blanco/a;masculino;0;0;25;estados unidos;<=50k
46;Privado;219611;universitario incompleto;10;casado/a;administrativo;esposo;blanco/a;masculino;0;0;40;estados unidos;<=50k
69;privado;541737;universitario incompleto;10;viudo/a;administrativo;sin familia conviviente;blanco/a;femenino;2050;0;24;estados unidos;<=50k
61;privado;162432;secundaria completa;9;viudo/a;ejecutivo/gerente;sin familia conviviente;blanco/a;femenino;0;0;40;estados unidos;<=50k
65;privado;196174;10 grado;6;divorciado/a;limpieza/mantenimiento;sin familia conviviente;blanco/a;femenino;0;0;28;estados unidos;<=50k
32;privado;86723;secundaria completa;9;soltero/a;otros servicios;sin familia conviviente;blanco/a;hombre;0;0;52;estados unidos;<=50k
60;;153072;secundaria completa;9;casado/a;;esposo;blanco/a;masculino;0;0;5;estados unidos;<=50k
52;;204447;secundaria completa;9;casado/a;;esposo;blanco/a;hombre;4386;0;40;;>50k
54;privado;229272;secundaria completa;9;casado/a;oficios/reparacion;esposo;negro/a;masculino;0;0;40;estados unidos;mas de 50k
22;privado;445758;5-6 grado;3;soltero/a;limpieza/mantenimiento;sin familia conviviente;blanco/a;masculino;0;0;40;mexico;<=50k
34;;164309;11 grado;7 años;casado/a;;esposa;blanco/a;femenino;0;0;8;estados unidos;<=50k
29;privado;220692;tecnico vocacional;11;soltero;ejecutivo/gerente;sin familia conviviente;negro/a;femenino;0;0;40;estados unidos;<=50k
27;gobierno local;199172;secundaria completa;9;casado/a;servicios de proteccion;esposa;blanco/a;femenino;0;0;40;estados unidos;<=50k
23;privado;188505;licenciatura;13 años;soltero/a;otros servicios;hijo/a propio/a;blanco/a;femenino;0;0;25;estados unidos;<=50k.
39;;188069;licenciatura;13;casado/a;;esposo;blanco/a;masculino;0;0;40;;<=50k
40;privado;247245;9 grado;5;divorciado/a;otros servicios;sin familia conviviente;blanco/a;femenino;0;0;40;estados unidos;<=50k
66;;213477;7-8 grado;4;divorciado/a;;sin familia conviviente;blanco/a;masculino;0;0;10;estados unidos;<=50k
31;PRIVADO;363130;secundaria completa;9;soltero/a;otros servicios;no casado/a;negro/a;masculino;0;0;18;estados unidos;<=50k
19;sin remuneracion;344858;secundaria completa;9;soltero/a;agricultura/pesca;hijo/a propio/a;blanco/a;masculino;0;0;20;estados unidos;<=50k
76;privado;127016;7-8 grado;4;viudo/a;servicio domestico;sin familia conviviente;blanco/a;femenino;0;0;40;estados unidos;<=50k
20;privado;227491;secundaria completa;9;soltero/a;ventas;sin familia conviviente;asiatico/isleno pacifico;femenino;0;0;25;estados unidos;<=50k
48;privado;193075;secundaria completa;9;divorciado/a;ventas;hijo/a propio/a;blanco/a;femenino;0;0;20;estados unidos;<=50k
42;privado;194710;universitario incompleto;10;soltero/a;ejecutivo/gerente;sin familia conviviente;blanco/a;femenino;0;0;40;estados unidos;<=50k
46;privado;330416;universitario incompleto;10;casado/a;administrativo;esposo;blanco/a;masc;0;0;40;estados unidos;<=50k
40;autonomo no incorporado;230478;tecnico academico;12;divorciado/a;ejecutivo/gerente;sin familia conviviente;blanco/a;masculino;0;0;30;estados unidos;<=50k
34;privado;69251;secundaria completa;9;casado/a;transporte/logistica;esposo;asiatico/isleno pacifico;masculino;0;0;40;estados unidos;>50k
41;privado;194360;secundaria completa;9;casado/a;oficios/reparacion;esposo;blanco/a;masculino;0;1887;40;estados unidos;>50k
46;privado;144351;maestria;14;casado/a;profesional especializado;esposo;blanco/a;masculino;0;0;40;estados unidos;>50k
51;gobierno local;133336;maestria;14;casado/a;profesional especializado;esposo;blanco/a;masculino;15024;0;40;estados unidos;>50k
49;privado;23776;universitario incompleto;10;casado/a;Administrativo;esposo;blanco/a;M;0;0;40;estados unidos;<=50k
44;privado;219155;universitario incompleto;10;casado/a;ventas;esposo;blanco/a;masculino;0;0;50;inglaterra;>50k
63;gobierno federal;217994;universitario incompleto;10;divorciado/a;ejecutivo/gerente;no casado/a;blanco/a;femenino;0;0;40;estados unidos;<=50k
20;privado;196745;universitario incompleto;10;soltero/a;otros servicios;hijo/a propio/a;blanco/a;femenino;594;0;16;estados unidos;<=50k
41;privado;82049;secundaria completa;9;casado/a;oficios/reparacion;esposo;blanco/a;masculino;0;0;40;estados unidos;>50k
34;;52537;secundaria completa;9;soltero/a;;no casado/a;negro/a;masculino;0;0;30;;<=50k
23;gobierno estatal;33551;licenciatura;13;casado/a;soporte tecnico;esposo;blanco/a;masculino;0;0;38;estados unidos;<=50k
50;PRIVADO;184424;universitario incompleto;10;casado/a;administrativo;esposa;blanco/a;femenino;0;1902;38;estados unidos;>50k
44;privado;90688;secundaria completa;9;soltero/a;operador de maquinaria;sin familia conviviente;asiatico/isleno pacifico;femenino;0;0;45;laos;<=50k
28;privado;190911;secundaria completa;9;casado/a;oficios/reparacion;esposo;blanco/a;masculino;0;0;40;estados unidos;<=50k
20;;371089;secundaria completa;9;soltero/a;;hijo/a propio/a;blanco/a;femenino;0;0;40;estados unidos;<=50k
40;autonomo incorporado;475322;licenciatura;13;separado/a;oficios/reparacion;hijo/a propio/a;blanco/a;masculino;0;0;50;estados unidos;<=50k
55;gobierno estatal;199713;licenciatura;13;casado/a;profesional especializado;esposo;blanco/a;masculino;0;0;15;estados unidos;<=50k
47;gobierno local;134671;  universitario incompleto  ;10;casado/a;gerente;esposo;blanco/a;masculino;0;0;40;estados unidos;<=50k
20;privado;388156;universitario incompleto;10;soltero/a;profesional especializado;hijo/a propio/a;blanco/a;masculino;0;0;24;estados unidos;<=50k
20;Empresa privada;138768;secundaria completa;9;soltero/a;limpieza/mantenimiento;hijo/a propio/a;blanco/a;masculino;0;0;40;estados unidos;<=50k
30;Sector privado;324120;secundaria completa;9;casado/a;limpieza/mantenimiento;esposo;blanco/a;masculino;0;0;50;estados unidos;<=50k
56;privado;76281;licenciatura;13;casado/a;profesional especializado;no casado/a;blanco/a;femenino;0;0;40;estados unidos;<=50k
45;privado;106113;universitario incompleto;10;casado/a;ejecutivo/gerente;esposo;blanco/a;masculino;0;0;40;estados unidos;>50k
44;privado;207685;secundaria completa;9;soltero/a;ejecutivo/gerente;sin familia conviviente;blanco/a;masculino;0;1564;55;inglaterra;>50k
23;privado;237720;licenciatura;13;soltero/a;profesional especializado;sin familia conviviente;blanco/a;masculino;0;0;38;estados unidos;<=50k
35;autonomo no incorporado;462832;secundaria completa;9;casado/a;oficios/reparacion;esposa;negro/a;femenino;0;0;40;estados unidos;>50k
29;PRIVADO;191535;secundaria completa;9;divorciado/a;oficios/reparacion;sin familia conviviente;blanco/a;masculino;0;0;60;estados unidos;<=50k
30;gobierno local;154935;tecnico academico;12;soltero/a;servicios de proteccion;sin familia conviviente;negro/a;masculino;0;0;40;estados unidos;<=50k
19;privado;246226;secundaria completa;9;soltero/a;oficios/reparacion;sin familia conviviente;blanco/a;femenino;0;0;40;estados unidos;<=50k
43;gobierno local;198096;secundaria completa;9;casado/a;oficios/reparacion;esposo;blanco/a;masculino;7688;0;40;estados unidos;>50k
40;PRIVADO;305846;universitario incompleto;10;CASADO;administrativo;esposa;blanco/a;femenino;0;0;40;estados unidos;>50k
32;privado;283400;secundaria completa;9;soltero/a;operador de maquinaria;sin familia conviviente;blanco/a;femenino;0;0;40;estados unidos;<=50k.
72;privado;106890;tecnico vocacional;11;viudo/a;administrativo;sin familia conviviente;blanco/a;femenino;0;0;40;estados unidos;<=50k
27;privado;210498;secundaria completa;9;casado/a;oficios/reparacion;esposo;blanco/a;masculino;5178;0;40;estados unidos;>50k
37;autonomo no incorporado;149230;tecnico vocacional;11;soltero/a;otros servicios;hijo/a propio/a;blanco/a;femenino;0;0;40;estados unidos;<=50k
22;;289984;universitario incompleto;10;soltero/a;;sin familia conviviente;negro/a;femenino;0;0;25;estados unidos;<=50k
47;privado;120781;maestria;14;casado/a;Mgr.;esposo;asiatico/isleno pacifico;masculino;15024;0;40;;>50k
23;privado;179413;secundaria completa;9;Soltera;oficios/reparacion;no casado/a;blanco/a;masculino;0;0;40;estados unidos;<=50k
67;privado;150516;7-8 grado;4;casado/a;oficios/reparacion;esposo;blanco/a;masculino;0;0;24;estados unidos;<=50k
57;gobierno estatal;32694;doctorado;16;casado/a;profesional especializado;esposo;blanco/a;masculino;0;0;40;estados unidos;>50k
29;privado;105694;secundaria completa;9;casado/a;limpieza/mantenimiento;esposo;blanco/a;hombre;0;0;42;estados unidos;<=50k
23;privado;177787;licenciatura;13;soltero/a;ventas;hijo/a propio/a;blanco/a;femenino;0;0;30;inglaterra;<=50k
63;privado;134699;secundaria completa;9;viudo/a;profesional especializado;sin familia conviviente;blanco/a;femenino;0;0;25;estados unidos;<=50k
32;privado;34066;10 grado;6;casado/a;limpieza/mantenimiento;esposo;indigena americano/esquimal;masculino;0;0;40;estados unidos;<=50k
50;privado;195298;universitario incompleto;10;casado/a;ejecutivo/gerente;esposo;blanco/a;masculino;0;0;50;estados unidos;>50k
31;privado;133861;tecnico academico;12;divorciado/a;ejecutivo/gerente;sin familia conviviente;blanco/a;masculino;0;0;40;estados unidos;<=50k
23;privado;636017;universitario incompleto;10;soltero/a;otros servicios;hijo/a propio/a;negro/a;masculino;0;0;40;estados unidos;<=50k
38;Empresa privada;195744;licenciatura;13;soltero/a;otros servicios;sin familia conviviente;blanco/a;masculino;0;0;48;estados unidos;<=50k
18;;264924;universitario incompleto;10 años;soltero/a;;hijo/a propio/a;blanco/a;femenino;0;0;40;estados unidos;<=50k
29;gobierno estatal;33798;universitario incompleto;10;divorciado/a;administrativo;hijo/a propio/a;blanco/a;masculino;0;0;20;estados unidos;<=50k
42;gobierno federal;108183;maestria;14;casado/a;profesional especializado;esposo;asiatico/isleno pacifico;masculino;0;1902;40;corea del sur;>50k
27;autonomo no incorporado;411950;universitario incompleto;10;casado/a;otros servicios;esposo;blanco/a;masculino;0;0;40;estados unidos;<=50k
33;privado;379798;secundaria completa;9;casado/a;oficios/reparacion;esposo;blanco/a;masculino;0;0;40;estados unidos;<=50k
46;privado;216666;5-6 grado;3 años;CASADO;operador de maquinaria;esposo;blanco/a;masculino;0;0;40;mexico;<=50k
43;autonomo no incorporado;150528;secundaria completa;9;casado/a;oficios/reparacion;esposo;blanco/a;masculino;0;0;30;estados unidos;<=50k
28;autonomo incorporado;191129;secundaria completa;9;soltero/a;ejecutivo/gerente;sin familia conviviente;blanco/a;masculino;0;0;65;estados unidos;>50k
40;privado;349405;tecnico vocacional;11;casado/a;profesional especializado;esposa;blanco/a;femenino;0;0;36;estados unidos;<=50k
32;privado;187901;tecnico vocacional;11;soltero/a;ejecutivo/gerente;sin familia conviviente;blanco/a;mujer;0;0;23;estados unidos;<=50k
77;;147284;secundaria completa;9;viudo/a;;sin familia conviviente;blanco/a;femenino;0;0;14;estados unidos;<=50k
36;gobierno local;197495;licenciatura;13;divorciado/a;profesional especializado;no casado/a;negro/a;femenino;0;0;40;estados unidos;<=50k
48;;184682;secundaria completa;9;soltero/a;;hijo/a propio/a;blanco/a;femenino;0;0;18;estados unidos;<=50k
36;privado;174717;licenciatura;13;casado/a;profesional especializado;esposo;blanco/a;masculino;7688;0;40;estados unidos;>50k
65;privado;174603;5-6 grado;3;viudo/a;operador de maquinaria;sin familia conviviente;blanco/a;femenino;0;0;10;italia;<=50k
30;privado;132565;universitario incompleto;10;Soltera;oficios/reparacion;no casado/a;blanco/a;masculino;0;0;40;estados unidos;<=50k
22;privado;129172;universitario incompleto;10;soltero/a;otros servicios;hijo/a propio/a;blanco/a;masculino;0;0;16;estados unidos;<=50k
23;privado;53245;licenciatura;13;soltero/a;ventas;sin familia conviviente;blanco/a;masculino;0;1602;12;estados unidos;<=50k
35;autonomo no incorporado;238802;secundaria completa;9;casado/a;agricultura/pesca;esposo;blanco/a;masculino;0;0;50;estados unidos;<=50k
28;autonomo incorporado;80158;secundaria completa;9;soltero/a;ejecutivo/gerente;hijo/a propio/a;blanco/a;Masc.;0;0;40;estados unidos;<=50k
41;gobierno federal;185616;secundaria completa;9;soltero/a;administrativo;sin familia conviviente;blanco/a;femenino;0;1980;40;estados unidos;<=50k
55;gobierno local;37869;doctorado;16;soltero/a;profesional especializado;sin familia conviviente;blanco/a;femenino;0;0;60;estados unidos;<=50k
50;gobierno local;191025;maestria;14;divorciado/a;ejecutivo/gerente;sin familia conviviente;blanco/a;femenino;4650;0;70;estados unidos;<=50k
36;privado;199947;universitario incompleto;10;divorciado/a;operador de maquinaria;hijo/a propio/a;blanco/a;femenino;0;0;30;estados unidos;<=50k
32;privado;180603;licenciatura;13;casado/a;ventas;esposo;blanco/a;masculino;0;0;40;estados unidos;>50k
26;privado;262617;secundaria completa;9;soltero/a;oficios/reparacion;otro familiar;blanco/a;masculino;2597;0;40;estados unidos;<=50k
44;gobierno local;290403;tecnico vocacional;11;divorciado/a;servicios de proteccion;hijo/a propio/a;blanco/a;femenino;0;0;40;cuba;<=50k
34;privado;183811;universitario incompleto;10;soltero;limpieza/mantenimiento;sin familia conviviente;blanco/a;masculino;0;0;40;estados unidos;<=50k
31;Estatal;60186;licenciatura;13;divorciado/a;profesional especializado;sin familia conviviente;blanco/a;masculino;0;0;40;estados unidos;<=50k
50;privado;121685;universitario incompleto;10;CASADO;ventas;esposo;blanco/a;masculino;0;0;45;estados unidos;>50k
17;privado;721712;10 grado;6;soltero/a;otros servicios;hijo/a propio/a;blanco/a;masculino;0;0;15;estados unidos;<=50k
46;;328216;secundaria completa;9;casado;;esposo;blanco/a;masculino;0;0;40;;>50k
24;privado;35603;universitario incompleto;10;divorciado/a;otros servicios;sin familia conviviente;negro/a;masculino;0;0;40;estados unidos;<=50k
27;Empresa privada;321577;secundaria completa;9;soltero/a;administrativo;hijo/a propio/a;negro/a;femenino;0;0;40;estados unidos;<=50k
19;privado;142219;universitario incompleto;10;soltero/a;administrativo;hijo/a propio/a;blanco/a;femenino;0;0;30;estados unidos;<=50k
24;;311949;secundaria completa;9;soltero/a;;sin familia conviviente;asiatico/isleno pacifico;femenino;0;0;45;;<=50k
47;autonomo no incorporado;77102;maestria;14;divorciado/a;profesional especializado;sin familia conviviente;blanco/a;masculino;0;0;40;estados unidos;<=50k
31;privado;27856;secundaria completa;9;soltero/a;otros servicios;no casado/a;blanco/a;femenino;0;0;8;estados unidos;<=50k
37;privado;635913;licenciatura;13;soltero/a;ejecutivo/gerente;sin familia conviviente;negro/a;masculino;0;0;60;estados unidos;>50k
22;;34616;universitario incompleto;10;soltero/a;;hijo/a propio/a;blanco/a;femenino;0;0;20;;<=50k
58;privado;128162;secundaria completa;9;divorciado/a;ventas;sin familia conviviente;blanco/a;femenino;0;0;24;estados unidos;<=50k
29;privado;221977;universitario incompleto;10;casado/a;administrativo;esposa;blanco/a;femenino;0;0;40;estados unidos;>50k
17;privado;295488;11 grado;7;soltero/a;otros servicios;hijo/a propio/a;negro/a;femenino;0;0;25;estados unidos;<=50k
27;privado;180758;universitario incompleto;10;casado/a;limpieza/mantenimiento;esposo;blanco/a;masculino;0;0;30;estados unidos;<=50k
73;;123345;secundaria completa;9;viudo/a;;sin familia conviviente;blanco/a;femenino;0;0;65;estados unidos;<=50k
61;privado;316359;universitario incompleto;10;divorciado/a;ventas;sin familia conviviente;blanco/a;femenino;0;0;40;estados unidos;<=50k
27;privado;31659;licenciatura;13;casado/a;operador de maquinaria;esposo;blanco/a;masculino;0;1887;60;estados unidos;>50k
44;privado;145441;licenciatura;13;casado/a;ejecutivo/gerente;esposo;blanco/a;masculino;7298;0;48;estados unidos;>50k
31;autonomo no incorporado;30290;secundaria completa;9;soltero/a;otros servicios;no casado/a;blanco/a;femenino;0;0;40;estados unidos;<=50k
58;privado;137547;licenciatura;13;casado/a;otros servicios;esposo;asiatico/isleno pacifico;masculino;0;0;40;corea del sur;<=50k
60;privado;51290;  7-8 grado  ;4;divorciado/a;otros servicios;sin familia conviviente;blanco/a;MUJER;0;0;40;estados unidos;<=50k
50;privado;146429;secundaria completa;9;casado/a;oficios/reparacion;esposo;blanco/a;masculino;0;0;40;estados unidos;<=50k
42;gobierno estatal;293791;licenciatura;13;casado/a;ejecutivo/gerente;esposo;blanco/a;masculino;0;0;50;estados unidos;>50k
37;privado;538443;secundaria completa;9;divorciado/a;oficios/reparacion;sin familia conviviente;blanco/a;masculino;14344;0;40;estados unidos;>50k
40;privado;208277;universitario incompleto;10;soltero/a;ejecutivo/gerente;no casado/a;blanco/a;femenino;0;0;40;estados unidos;<=50k
59;gobierno local;176118;maestria;14;divorciado/a;profesional especializado;sin familia conviviente;blanco/a;Masc.;0;0;40;estados unidos;>50k
40;privado;96509;universitario incompleto;10;casado/a;profesional especializado;esposo;indigena americano/esquimal;masculino;0;0;40;estados unidos;>50k
66;autonomo no incorporado;293114;secundaria completa;9;casado/a;agricultura/pesca;esposo;blanco/a;masculino;1409;0;40;estados unidos;<=50k
26;;292803;universitario incompleto;10;soltero/a;;hijo/a propio/a;blanco/a;mujer;0;0;24;estados unidos;<=50k
19;privado;158118;secundaria completa;9;soltero/a;otros servicios;sin familia conviviente;blanco/a;femenino;0;1719;40;estados unidos;<=50k
39;privado;30916;secundaria completa;9;casado/a;oficios/reparacion;esposo;blanco/a;masculino;0;0;40;estados unidos;<=50k
53;privado;218630;secundaria completa;9;casado/a;operador de maquinaria;esposo;blanco/a;masculino;0;0;40;estados unidos;>50k
32;;237903;licenciatura;13;soltero/a;;no casado/a;blanco/a;femenino;0;0;40;;<=50k
36;privado;129573;tecnico academico;12;casado/a;ventas;esposo;blanco/a;masculino;0;0;60;estados unidos;>50k
32;gobierno federal;115066;secundaria completa;9;casado/a;soporte tecnico;esposo;blanco/a;masculino;0;0;40;estados unidos;<=50k
33;privado;168387;11 grado;7;casado/a;otros servicios;esposo;blanco/a;masculino;0;0;40;estados unidos;<=50k
49;autonomo no incorporado;107597;secundaria completa;9;divorciado/a;ejecutivo/gerente;no casado/a;blanco/a;femenino;14084;0;30;estados unidos;>50k
59;autonomo no incorporado;128105;secundaria completa;9;Casado;agricultura/pesca;esposo;blanco/a;masculino;0;0;35;estados unidos;<=50k
